step;virtual;physical
1585;2596;1908
1586;2596;1908
1587;2596;1908
1588;2595;1908
1589;2595;1908
1590;2595;1908
1591;2595;1908
1592;2595;1908
1593;2595;1908
1594;2595;1907
1595;2595;1907
1596;2595;1907
1597;2595;1907
1598;2595;1907
1599;2595;1907
1600;2595;1908
1601;2596;1908
1602;2596;1908
1603;2595;1908
1604;2595;1908
1605;2595;1908
1606;2595;1908
1607;2595;1908
1608;2595;1908
1609;2595;1908
1610;2595;1908
1611;2595;1907
1612;2595;1907
1613;2595;1907
1614;2595;1907
1615;2595;1907
1616;2596;1908
1617;2596;1908
1618;2596;1908
1619;2596;1908
1620;2596;1908
1621;2596;1908
1622;2594;1906
1623;2594;1906
1624;2594;1906
1625;2594;1906
1626;2594;1906
1627;2594;1906
1628;2595;1907
1629;2596;1908
1630;2596;1908
1631;2595;1908
1632;2595;1908
1633;2595;1908
1634;2596;1908
1635;2596;1908
1636;2596;1908
1637;2596;1908
1638;2596;1908
1639;2596;1908
1640;2596;1908
1641;2596;1908
1642;2596;1908
1643;2596;1908
1644;2596;1908
1645;2596;1908
1646;2596;1908
1647;2596;1908
1648;2596;1908
1649;2596;1908
1650;2594;1907
1651;2594;1907
1652;2594;1907
1653;2594;1907
1654;2594;1907
1655;2595;1907
1656;2595;1907
1657;2595;1907
1658;2595;1907
1659;2595;1908
